answer
It's private
Not from Russia
Adygea Republic of
Altai Krai
Altai Republic
Amur Oblast
Arkhangelsk Oblast
Astrakhan Oblast
Bashkortostan Republic of
Belgorod Oblast
Bryansk Oblast
Buryatia Republic of
Chechen Republic
Chelyabinsk Oblast
Chukotka Autonomous Okrug
Chuvash Republic
Dagestan Republic of
Ingushetia Republic of
Irkutsk Oblast
Ivanovo Oblast
Jewish Autonomous Oblast
Kabardino-Balkar Republic
Kaliningrad Oblast
Kalmykia Republic of
Kaluga Oblast
Kamchatka Krai
Karachay-Cherkess Republic
Karelia Republic of
Kemerovo Oblast
Khabarovsk Krai
Khakassia Republic of
Khanty–Mansi Autonomous Okrug – Yugra
Kirov Oblast
Komi Republic
Kostroma Oblast
Krasnodar Krai
Krasnoyarsk Krai
Kurgan Oblast
Kursk Oblast
Leningrad Oblast
Lipetsk Oblast
Magadan Oblast
Mari El Republic
Mordovia Republic of
Moscow
Moscow Oblast
Murmansk Oblast
Nenets Autonomous Okrug
Nizhny Novgorod Oblast
North Ossetia-Alania Republic of
Novgorod Oblast
Novosibirsk Oblast
Omsk Oblast
Orenburg Oblast
Oryol Oblast
Penza Oblast
Perm Krai
Primorsky Krai
Pskov Oblast
Republic of Crimea
Rostov Oblast
Ryazan Oblast
Saint Petersburg
Sakha (Yakutia) Republic
Sakhalin Oblast
Samara Oblast
Saratov Oblast
Sevastopol
Smolensk Oblast
Stavropol Krai
Sverdlovsk Oblast
Tambov Oblast
Tatarstan Republic of
Tomsk Oblast
Tula Oblast
Tuva Republic
Tver Oblast
Tyumen Oblast
Udmurt Republic
Ulyanovsk Oblast
Vladimir Oblast
Volgograd Oblast
Vologda Oblast
Voronezh Oblast
Yamalo-Nenets Autonomous Okrug
Yaroslavl Oblast
Zabaykalsky Krai
